"7500-67601";"LEITERPLATTE-676.01";"BLU311";"";"";"";"";"";"";"";"x";"x";"x";"";"x";"";"";"";"";"";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";""
"2030-20091";"BG-NT-HLG";"BLU311";"";"";"";"";"";"";"";"x";"x";"x";"";"x";"";"";"";"";"";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";""
"7500-43350";"LEITERPLATTE433VOLL";"BLU311 BLU210";"";"";"";"";"";"";"";"x";"x";"x";"";"x";"";"";"";"";"";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";""
"2028-00010";"BLU-210";"BLU210";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"x";"";"x";"";"";"";"";"";"";"";"";""
"7324-15000";"NETZTEIL150W24V";"BLU210";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"x";"";"x";"";"";"";"";"";"";"";"";""
"7511-00102";"LEITERPLATTE001BLUXXX";"BLU210 BLU303";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";""
"7500-08100";"LEITERPLATTE081";"BLU210";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";""
"4065-61174";"IEC-KOMBI";"BLU210";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";""
"0017-20680";"FFU-TRANS-W";"FFU";"T";"";"0017-20681";"";"";"";"";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"x";"";"";"";""
"0017-20681";"FFU-TRANS-W";"FFU";"T";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"x";"";"";"";""
"0017-20600";"KLOTZ2 ";"Micro-Leveling";"S";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";"";""
