EDPConsole (by Sven Ginka)
test á oder  test
orig>tables
AnsiToUTF8>tables
UTF8ToAnsi>tables
orig>*
AnsiToUTF8>*
UTF8ToAnsi>*
tabellen bersicht
LOG>connected
LOG>abas Version 2010r4n07
LOG>lang code:D
LOG>iso code:de
LOG>lang var:de
LOG>trim values:1
LOG>rec size:362
DATA>name,desc,num,type,typestr,databasenr,databasename,groupbits,groupnrs,groupnames,hastable,aliveflag
DATA>#Konto:Konto#Konto (Konto)#5:1#1#Selektions-Leiste#5#Konto#2#1#Konto#1#9
DATA>#Konto:Kostenstelle#Kostenstelle (Konto)#5:2#1#Selektions-Leiste#5#Konto#4#2#Kostenstelle#1#9
DATA>#Konto:Verkehrszahlen#Verkehrszahlen (Konto)#5:3#1#Selektions-Leiste#5#Konto#8#3#Verkehrszahlen#0#9
DATA>#Konto:Kostenträger#Kostenträger (Konto)#5:4#1#Selektions-Leiste#5#Konto#16#4#Kostenträger#0#9
DATA>#Konto:Kostenverteilung#Kostenverteilung (Konto)#5:8#1#Selektions-Leiste#5#Konto#256#8#Kostenverteilung#1#9
DATA>#Konto:Kostenfeld#Kostenfeld (Konto)#5:16#1#Selektions-Leiste#5#Konto#65536#16#Kostenfeld#0#9
DATA>#Buchung:Buchung#Buchung (Buchung)#6:0#1#Selektions-Leiste#6#Buchung#1#0#Buchung#1#9
DATA>#Buchung:statistische Buchung#statistische Buchung (Buchung)#6:1#1#Selektions-Leiste#6#Buchung#2#1#statistische Buchung#1#9
DATA>#Arbeitsgang:Arbeitsgang#Arbeitsgang (Arbeitsgang)#7:0#1#Selektions-Leiste#7#Arbeitsgang#1#0#Arbeitsgang#0#9
DATA>#Kapazität:Abteilung#Abteilung (Kapazität)#8:1#1#Selektions-Leiste#8#Kapazität#2#1#Abteilung#1#9
DATA>#Kapazität:Maschinengruppe#Maschinengruppe (Kapazität)#8:2#1#Selektions-Leiste#8#Kapazität#4#2#Maschinengruppe#1#9
DATA>#Betr-Auftrag:Betriebsaufträge#Betriebsaufträge (Betr-Auftrag)#9:1#1#Selektions-Leiste#9#Betr-Auftrag#2#1#Betriebsaufträge#1#9
DATA>#Betr-Auftrag:Rückmeldungen#Rückmeldungen (Betr-Auftrag)#9:2#1#Selektions-Leiste#9#Betr-Auftrag#4#2#Rückmeldungen#1#9
DATA>#Journal:Journal#Journal (Journal)#10:1#1#Selektions-Leiste#10#Journal#2#1#Journal#1#9
DATA>#Mitarbeiter:Mitarbeiter#Mitarbeiter (Mitarbeiter)#11:1#1#Selektions-Leiste#11#Mitarbeiter#2#1#Mitarbeiter#1#9
