EDPConsole (by Sven Ginka)
test á oder  test
orig>tables
AnsiToUTF8>tables
UTF8ToAnsi>tables
orig>*
AnsiToUTF8>*
UTF8ToAnsi>*
tabellen bersicht
LOG>connected
LOG>abas Version 2010r4n07
LOG>lang code:D
LOG>iso code:de
LOG>lang var:de
LOG>trim values:1
LOG>rec size:362
DATA>name,desc,num,type,typestr,databasenr,databasename,groupbits,groupnrs,groupnames,hastable,aliveflag
DATA>#Umlage:Kostenträgerjahresumlage#Kostenträgerjahresumlage (Umlage)#67:7#1#Selektions-Leiste#67#Umlage#128#7#Kostenträgerjahresumlage#1#9
DATA>#KOBereich:Kontenbereich#Kontenbereich (KOBereich)#68:1#1#Selektions-Leiste#68#KOBereich#2#1#Kontenbereich#1#9
DATA>#KOBereich:Personenkontenbereich#Personenkontenbereich (KOBereich)#68:3#1#Selektions-Leiste#68#KOBereich#8#3#Personenkontenbereich#1#9
DATA>#KOBereich:Kontenbereich-Formular#Kontenbereich-Formular (KOBereich)#68:2#1#Selektions-Leiste#68#KOBereich#4#2#Kontenbereich-Formular#1#9
DATA>#KOBereich:KB-Formular Freie Perioden#KB-Formular Freie Perioden (KOBereich)#68:8#1#Selektions-Leiste#68#KOBereich#256#8#KB-Formular Freie Perioden#1#9
DATA>#KOBereich:Corridor Controlling - GuV#Corridor Controlling - GuV (KOBereich)#68:4#1#Selektions-Leiste#68#KOBereich#16#4#Corridor Controlling - GuV#1#9
DATA>#KOBereich:Corridor Controlling - Bilanz#Corridor Controlling - Bilanz (KOBereich)#68:5#1#Selektions-Leiste#68#KOBereich#32#5#Corridor Controlling - Bilanz#1#9
DATA>#KOBereich:Einflußgrößen#Einflußgrößen (KOBereich)#68:6#1#Selektions-Leiste#68#KOBereich#64#6#Einflußgrößen#1#9
DATA>#KOBereich:Kostenartenbereich#Kostenartenbereich (KOBereich)#68:9#1#Selektions-Leiste#68#KOBereich#512#9#Kostenartenbereich#1#9
DATA>#KOBereich:Kostenobjektbereich#Kostenobjektbereich (KOBereich)#68:10#1#Selektions-Leiste#68#KOBereich#1024#10#Kostenobjektbereich#1#9
DATA>#KOBereich:V-Kontenbereich#V-Kontenbereich (KOBereich)#68:17#1#Selektions-Leiste#68#KOBereich#131072#17#V-Kontenbereich#1#9
DATA>#KOBereich:V-Personenkontenbereich#V-Personenkontenbereich (KOBereich)#68:19#1#Selektions-Leiste#68#KOBereich#524288#19#V-Personenkontenbereich#1#9
DATA>#KOBereich:V-Kostenartenbereich#V-Kostenartenbereich (KOBereich)#68:25#1#Selektions-Leiste#68#KOBereich#33554432#25#V-Kostenartenbereich#1#9
DATA>#FKOauswert:Fibu-Kontenauswertungen#Fibu-Kontenauswertungen (FKOauswert)#69:1#1#Selektions-Leiste#69#FKOauswert#2#1#Fibu-Kontenauswertungen#1#9
DATA>#FKOauswert:Fibu-Kontenauswertungen Freie Perioden#Fibu-Kontenauswertungen Freie Perioden (FKOauswert)#69:2#1#Selektions-Leiste#69#FKOauswert#4#2#Fibu-Kontenauswertungen Freie Perioden#1#9
DATA>#FKOauswert:Teilplandaten#Teilplandaten (FKOauswert)#69:3#1#Selektions-Leiste#69#FKOauswert#8#3#Teilplandaten#1#9
DATA>#Dokument:Internes Dokument#Internes Dokument (Dokument)#70:1#1#Selektions-Leiste#70#Dokument#2#1#Internes Dokument#1#9
DATA>#Dokument:Externes Dokument#Externes Dokument (Dokument)#70:2#1#Selektions-Leiste#70#Dokument#4#2#Externes Dokument#1#9
DATA>#Dokument:Rückläuferdokument#Rückläuferdokument (Dokument)#70:3#1#Selektions-Leiste#70#Dokument#8#3#Rückläuferdokument#1#9
DATA>#Dokument:Dokumentenliste#Dokumentenliste (Dokument)#70:4#1#Selektions-Leiste#70#Dokument#16#4#Dokumentenliste#1#9
DATA>#REWEStamm:Freier Geschäftsjahres-Verlauf#Freier Geschäftsjahres-Verlauf (REWEStamm)#81:1#1#Selektions-Leiste#81#REWEStamm#2#1#Freier Geschäftsjahres-Verlauf#1#9
DATA>#REWEStamm:Freies Geschäftsjahr#Freies Geschäftsjahr (REWEStamm)#81:2#1#Selektions-Leiste#81#REWEStamm#4#2#Freies Geschäftsjahr#1#9
DATA>#REWEStamm:Geschäftsvorgangsart#Geschäftsvorgangsart (REWEStamm)#81:3#1#Selektions-Leiste#81#REWEStamm#8#3#Geschäftsvorgangsart#0#9
DATA>#REWEStamm:Buchungskreiskonfiguration#Buchungskreiskonfiguration (REWEStamm)#81:4#1#Selektions-Leiste#81#REWEStamm#16#4#Buchungskreiskonfiguration#1#9
DATA>#REWEStamm:DATEV-Konfiguration#DATEV-Konfiguration (REWEStamm)#81:6#1#Selektions-Leiste#81#REWEStamm#64#6#DATEV-Konfiguration#0#9
DATA>#Preise:Preise#Preise (Preise)#82:1#1#Selektions-Leiste#82#Preise#2#1#Preise#1#9
DATA>#Preise:Materialzuschlag#Materialzuschlag (Preise)#82:3#1#Selektions-Leiste#82#Preise#8#3#Materialzuschlag#0#9
DATA>#Preise:Gutschein#Gutschein (Preise)#82:4#1#Selektions-Leiste#82#Preise#16#4#Gutschein#0#9
DATA>#Provision:Provision#Provision (Provision)#83:1#1#Selektions-Leiste#83#Provision#2#1#Provision#0#9
DATA>#ArtBereich:Artikelbereich#Artikelbereich (ArtBereich)#84:1#1#Selektions-Leiste#84#ArtBereich#2#1#Artikelbereich#1#9
DATA>#Erlaubnis:Erlaubnis#Erlaubnis (Erlaubnis)#85:1#1#Selektions-Leiste#85#Erlaubnis#2#1#Erlaubnis#1#9
DATA>#Erlaubnis:Arbeitsbereich#Arbeitsbereich (Erlaubnis)#85:2#1#Selektions-Leiste#85#Erlaubnis#4#2#Arbeitsbereich#1#9
DATA>#Vorgang:Projektkopf#Projektkopf (Vorgang)#86:1#1#Selektions-Leiste#86#Vorgang#2#1#Projektkopf#0#9
DATA>#Vorgang:Aufgabenkopf#Aufgabenkopf (Vorgang)#86:2#1#Selektions-Leiste#86#Vorgang#4#2#Aufgabenkopf#0#9
DATA>#Vorgang:Protokoll#Protokoll (Vorgang)#86:4#1#Selektions-Leiste#86#Vorgang#16#4#Protokoll#0#9
DATA>#Vorgang:Projekt#Projekt (Vorgang)#86:5#1#Selektions-Leiste#86#Vorgang#32#5#Projekt#1#9
DATA>#Vorgang:Aufgabe#Aufgabe (Vorgang)#86:6#1#Selektions-Leiste#86#Vorgang#64#6#Aufgabe#1#9
DATA>#Datenexport:Datenmodell#Datenmodell (Datenexport)#87:1#1#Selektions-Leiste#87#Datenexport#2#1#Datenmodell#1#9
DATA>#Datenexport:Datensicht#Datensicht (Datenexport)#87:2#1#Selektions-Leiste#87#Datenexport#4#2#Datensicht#1#9
DATA>#Datenexport:Datenfelder#Datenfelder (Datenexport)#87:3#1#Selektions-Leiste#87#Datenexport#8#3#Datenfelder#1#9
DATA>#Datenexport:Export#Export (Datenexport)#87:4#1#Selektions-Leiste#87#Datenexport#16#4#Export#0#9
DATA>#Datenexport:Aufrufparameter#Aufrufparameter (Datenexport)#87:9#1#Selektions-Leiste#87#Datenexport#512#9#Aufrufparameter#1#9
DATA>#Datenexport:Paket#Paket (Datenexport)#87:10#1#Selektions-Leiste#87#Datenexport#1024#10#Paket#1#9
DATA>#Druckparameter:Einstellungen#Einstellungen (Druckparameter)#88:1#1#Selektions-Leiste#88#Druckparameter#2#1#Einstellungen#0#9
DATA>#Druckparameter:Sammellayout#Sammellayout (Druckparameter)#88:2#1#Selektions-Leiste#88#Druckparameter#4#2#Sammellayout#1#9
DATA>#Druckparameter:Layout#Layout (Druckparameter)#88:3#1#Selektions-Leiste#88#Druckparameter#8#3#Layout#0#9
DATA>#Druckparameter:Papierformat#Papierformat (Druckparameter)#88:4#1#Selektions-Leiste#88#Druckparameter#16#4#Papierformat#0#9
DATA>#Druckparameter:Spooler#Spooler (Druckparameter)#88:5#1#Selektions-Leiste#88#Druckparameter#32#5#Spooler#1#9
DATA>#Druckparameter:Ausgabekanal#Ausgabekanal (Druckparameter)#88:6#1#Selektions-Leiste#88#Druckparameter#64#6#Ausgabekanal#0#9
DATA>#Druckparameter:Kommunikations-Parameter#Kommunikations-Parameter (Druckparameter)#88:7#1#Selektions-Leiste#88#Druckparameter#128#7#Kommunikations-Parameter#1#9
DATA>#Druckparameter:Parameterlayout#Parameterlayout (Druckparameter)#88:8#1#Selektions-Leiste#88#Druckparameter#256#8#Parameterlayout#0#9
DATA>#Konsolidierung:Konsolidierungskreis#Konsolidierungskreis (Konsolidierung)#89:4#1#Selektions-Leiste#89#Konsolidierung#16#4#Konsolidierungskreis#1#9
DATA>#Konsolidierung:Konzernunternehmen#Konzernunternehmen (Konsolidierung)#89:5#1#Selektions-Leiste#89#Konsolidierung#32#5#Konzernunternehmen#0#9
DATA>#Konsolidierung:Gliederungsabbildung#Gliederungsabbildung (Konsolidierung)#89:6#1#Selektions-Leiste#89#Konsolidierung#64#6#Gliederungsabbildung#1#9
DATA>#Konsolidierung:Konzerndatenhistorie#Konzerndatenhistorie (Konsolidierung)#89:7#1#Selektions-Leiste#89#Konsolidierung#128#7#Konzerndatenhistorie#1#9
DATA>#Konsolidierung:Konzerndatenaustausch#Konzerndatenaustausch (Konsolidierung)#89:1#1#Selektions-Leiste#89#Konsolidierung#2#1#Konzerndatenaustausch#1#9
DATA>#Konsolidierung:Konsolidierungskonfiguration#Konsolidierungskonfiguration (Konsolidierung)#89:2#1#Selektions-Leiste#89#Konsolidierung#4#2#Konsolidierungskonfiguration#1#9
DATA>#Bankimport:Bankimportdatei#Bankimportdatei (Bankimport)#90:5#1#Selektions-Leiste#90#Bankimport#32#5#Bankimportdatei#1#9
DATA>#Bankimport:Bankkontoauszug#Bankkontoauszug (Bankimport)#90:1#1#Selektions-Leiste#90#Bankimport#2#1#Bankkontoauszug#1#9
DATA>#Bankimport:Zahlungsträger#Zahlungsträger (Bankimport)#90:6#1#Selektions-Leiste#90#Bankimport#64#6#Zahlungsträger#1#9
DATA>#Bankimport:Manuelle Zuordnung#Manuelle Zuordnung (Bankimport)#90:7#1#Selektions-Leiste#90#Bankimport#128#7#Manuelle Zuordnung#1#9
DATA>#Infrastruktur:Drucker#Drucker (Infrastruktur)#91:1#1#Selektions-Leiste#91#Infrastruktur#2#1#Drucker#0#9
DATA>#Infrastruktur:Druckverteiler#Druckverteiler (Infrastruktur)#91:2#1#Selektions-Leiste#91#Infrastruktur#4#2#Druckverteiler#1#9
DATA>#Infrastruktur:Standort#Standort (Infrastruktur)#91:3#1#Selektions-Leiste#91#Infrastruktur#8#3#Standort#0#9
DATA>#Infrastruktur:Rechner#Rechner (Infrastruktur)#91:4#1#Selektions-Leiste#91#Infrastruktur#16#4#Rechner#0#9
DATA>#Infrastruktur:Bildschirm#Bildschirm (Infrastruktur)#91:5#1#Selektions-Leiste#91#Infrastruktur#32#5#Bildschirm#0#9
DATA>#Infrastruktur:Mandant#Mandant (Infrastruktur)#91:6#1#Selektions-Leiste#91#Infrastruktur#64#6#Mandant#0#9
DATA>#Infrastruktur:Dateityp#Dateityp (Infrastruktur)#91:7#1#Selektions-Leiste#91#Infrastruktur#128#7#Dateityp#0#9
DATA>#Infrastruktur:JFOP-Server#JFOP-Server (Infrastruktur)#91:8#1#Selektions-Leiste#91#Infrastruktur#256#8#JFOP-Server#0#9
DATA>#EDI-Konfiguration:Abbildungsmodell#Abbildungsmodell (EDI-Konfiguration)#92:1#1#Selektions-Leiste#92#EDI-Konfiguration#2#1#Abbildungsmodell#1#9
DATA>#EDI-Konfiguration:Objektzuordnung#Objektzuordnung (EDI-Konfiguration)#92:2#1#Selektions-Leiste#92#EDI-Konfiguration#4#2#Objektzuordnung#1#9
DATA>#EDI-Konfiguration:Message2Event#Message2Event (EDI-Konfiguration)#92:3#1#Selektions-Leiste#92#EDI-Konfiguration#8#3#Message2Event#1#9
DATA>#EDI-Konfiguration:Eventtype#Eventtype (EDI-Konfiguration)#92:4#1#Selektions-Leiste#92#EDI-Konfiguration#16#4#Eventtype#1#9
DATA>#EDI-Konfiguration:Feldzuordnung#Feldzuordnung (EDI-Konfiguration)#92:5#1#Selektions-Leiste#92#EDI-Konfiguration#32#5#Feldzuordnung#1#9
DATA>#EDI-Konfiguration:Event2Setup#Event2Setup (EDI-Konfiguration)#92:6#1#Selektions-Leiste#92#EDI-Konfiguration#64#6#Event2Setup#1#9
DATA>#EDI-Konfiguration:Reihenfolge#Reihenfolge (EDI-Konfiguration)#92:7#1#Selektions-Leiste#92#EDI-Konfiguration#128#7#Reihenfolge#0#9
DATA>#EDI-Konfiguration:Handling#Handling (EDI-Konfiguration)#92:8#1#Selektions-Leiste#92#EDI-Konfiguration#256#8#Handling#0#9
DATA>#EDI-Konfiguration:Parameter#Parameter (EDI-Konfiguration)#92:9#1#Selektions-Leiste#92#EDI-Konfiguration#512#9#Parameter#0#9
DATA>#WEB-Anwender:WEB-Nutzer#WEB-Nutzer (WEB-Anwender)#93:1#1#Selektions-Leiste#93#WEB-Anwender#2#1#WEB-Nutzer#1#9
DATA>#WEB-Anwender:WEB-Rolle#WEB-Rolle (WEB-Anwender)#93:2#1#Selektions-Leiste#93#WEB-Anwender#4#2#WEB-Rolle#1#9
DATA>#WEB-Anwender:WEB-Profil#WEB-Profil (WEB-Anwender)#93:3#1#Selektions-Leiste#93#WEB-Anwender#8#3#WEB-Profil#1#9
DATA>#WEB-Anwender:WEB-Rollenliste#WEB-Rollenliste (WEB-Anwender)#93:4#1#Selektions-Leiste#93#WEB-Anwender#16#4#WEB-Rollenliste#1#9
DATA>#Währung:Währung#Währung (Währung)#94:1#1#Selektions-Leiste#94#Währung#2#1#Währung#0#9
DATA>#Währungskurs:Währungskurs#Währungskurs (Währungskurs)#95:1#1#Selektions-Leiste#95#Währungskurs#2#1#Währungskurs#0#9
DATA>#Bankdaten:Bank#Bank (Bankdaten)#96:1#1#Selektions-Leiste#96#Bankdaten#2#1#Bank#0#9
DATA>#Bankdaten:Bankverbindung#Bankverbindung (Bankdaten)#96:2#1#Selektions-Leiste#96#Bankdaten#4#2#Bankverbindung#1#9
DATA>#Regionen:Region/Land/Wirtschaftsraum#Region/Land/Wirtschaftsraum (Regionen)#97:1#1#Selektions-Leiste#97#Regionen#2#1#Region/Land/Wirtschaftsraum#0#9
DATA>#Regionen:Adressformate#Adressformate (Regionen)#97:2#1#Selektions-Leiste#97#Regionen#4#2#Adressformate#1#9
DATA>#Kassenbuch:Kassenbuch#Kassenbuch (Kassenbuch)#98:1#1#Selektions-Leiste#98#Kassenbuch#2#1#Kassenbuch#1#9
DATA>#Schemata:Schema#Schema (Schemata)#99:1#1#Selektions-Leiste#99#Schemata#2#1#Schema#0#9
DATA>#Schemata:Struktur#Struktur (Schemata)#99:2#1#Selektions-Leiste#99#Schemata#4#2#Struktur#1#9
DATA>#Schemata:Feld#Feld (Schemata)#99:3#1#Selektions-Leiste#99#Schemata#8#3#Feld#0#9
DATA>#Schemata:Schlüssel#Schlüssel (Schemata)#99:4#1#Selektions-Leiste#99#Schemata#16#4#Schlüssel#1#9
DATA>#Schemata:Feldbeziehung#Feldbeziehung (Schemata)#99:5#1#Selektions-Leiste#99#Schemata#32#5#Feldbeziehung#1#9
DATA>#OffenePosten:OP-Verlauf#OP-Verlauf (OffenePosten)#100:21#1#Selektions-Leiste#100#OffenePosten#2097152#21#OP-Verlauf#1#9
DATA>#OffenePosten:Offener Posten#Offener Posten (OffenePosten)#100:1#1#Selektions-Leiste#100#OffenePosten#2#1#Offener Posten#0#9
DATA>#OffenePosten:OP-Bewegung#OP-Bewegung (OffenePosten)#100:2#1#Selektions-Leiste#100#OffenePosten#4#2#OP-Bewegung#0#9
DATA>#Zahlungsvorschläge:Zahlungsvorschlag - Eingänge#Zahlungsvorschlag - Eingänge (Zahlungsvorschläge)#101:1#1#Selektions-Leiste#101#Zahlungsvorschläge#2#1#Zahlungsvorschlag - Eingänge#1#9
DATA>#Zahlungsvorschläge:Zahlungsvorschlag - Ausgänge#Zahlungsvorschlag - Ausgänge (Zahlungsvorschläge)#101:2#1#Selektions-Leiste#101#Zahlungsvorschläge#4#2#Zahlungsvorschlag - Ausgänge#1#9
DATA>#Zahlungsträger:Überweisung#Überweisung (Zahlungsträger)#103:1#1#Selektions-Leiste#103#Zahlungsträger#2#1#Überweisung#1#9
DATA>#Zahlungsträger:Lastschrift#Lastschrift (Zahlungsträger)#103:6#1#Selektions-Leiste#103#Zahlungsträger#64#6#Lastschrift#1#9
DATA>#Zahlungsträger:Bankdatei#Bankdatei (Zahlungsträger)#103:2#1#Selektions-Leiste#103#Zahlungsträger#4#2#Bankdatei#1#9
DATA>#Zahlungsträger:Eingangsscheck#Eingangsscheck (Zahlungsträger)#103:3#1#Selektions-Leiste#103#Zahlungsträger#8#3#Eingangsscheck#1#9
DATA>#Zahlungsträger:Scheckeinreichung#Scheckeinreichung (Zahlungsträger)#103:10#1#Selektions-Leiste#103#Zahlungsträger#1024#10#Scheckeinreichung#1#9
DATA>#Zahlungsträger:Ausgangsscheck#Ausgangsscheck (Zahlungsträger)#103:4#1#Selektions-Leiste#103#Zahlungsträger#16#4#Ausgangsscheck#1#9
DATA>#Zahlungsträger:Scheckbuch#Scheckbuch (Zahlungsträger)#103:5#1#Selektions-Leiste#103#Zahlungsträger#32#5#Scheckbuch#1#9
DATA>#Zahlungsträger:Kundenwechsel#Kundenwechsel (Zahlungsträger)#103:7#1#Selektions-Leiste#103#Zahlungsträger#128#7#Kundenwechsel#1#9
DATA>#Zahlungsträger:Wechselbuch#Wechselbuch (Zahlungsträger)#103:9#1#Selektions-Leiste#103#Zahlungsträger#512#9#Wechselbuch#1#9
DATA>#Zahlungsträger:Lieferantenwechsel#Lieferantenwechsel (Zahlungsträger)#103:8#1#Selektions-Leiste#103#Zahlungsträger#256#8#Lieferantenwechsel#1#9
DATA>#Zahlungsträger:Wechseleinreichung#Wechseleinreichung (Zahlungsträger)#103:11#1#Selektions-Leiste#103#Zahlungsträger#2048#11#Wechseleinreichung#1#9
DATA>#Zahlungsträger:Zahlungsträger#Zahlungsträger (Zahlungsträger)#103:12#1#Selektions-Leiste#103#Zahlungsträger#4096#12#Zahlungsträger#1#9
DATA>#Zahlungsträger:Zahlungsträgersammler#Zahlungsträgersammler (Zahlungsträger)#103:13#1#Selektions-Leiste#103#Zahlungsträger#8192#13#Zahlungsträgersammler#1#9
DATA>#Mahnungen:Mahnvorgang#Mahnvorgang (Mahnungen)#104:2#1#Selektions-Leiste#104#Mahnungen#4#2#Mahnvorgang#1#9
DATA>#Mahnungen:Mahnung#Mahnung (Mahnungen)#104:1#1#Selektions-Leiste#104#Mahnungen#2#1#Mahnung#1#9
DATA>#Packanweisung:Packanweisung#Packanweisung (Packanweisung)#106:1#1#Selektions-Leiste#106#Packanweisung#2#1#Packanweisung#1#9
DATA>#Aufzählung:Aufzählung#Aufzählung (Aufzählung)#107:1#1#Selektions-Leiste#107#Aufzählung#2#1#Aufzählung#1#9
DATA>#WEB-Konfiguration:Anwendung#Anwendung (WEB-Konfiguration)#108:1#1#Selektions-Leiste#108#WEB-Konfiguration#2#1#Anwendung#1#9
DATA>#WEB-Konfiguration:Instanz#Instanz (WEB-Konfiguration)#108:2#1#Selektions-Leiste#108#WEB-Konfiguration#4#2#Instanz#1#9
DATA>#Wertemengen:Wertemengenbezeichner#Wertemengenbezeichner (Wertemengen)#109:1#1#Selektions-Leiste#109#Wertemengen#2#1#Wertemengenbezeichner#0#9
DATA>#Wertemengen:Bezeichner#Bezeichner (Wertemengen)#109:2#1#Selektions-Leiste#109#Wertemengen#4#2#Bezeichner#0#9
DATA>#Wertemengen:Wert#Wert (Wertemengen)#109:3#1#Selektions-Leiste#109#Wertemengen#8#3#Wert#0#9
DATA>#Dauerbuchung:Finanzbuchungsvorlage#Finanzbuchungsvorlage (Dauerbuchung)#110:0#1#Selektions-Leiste#110#Dauerbuchung#1#0#Finanzbuchungsvorlage#1#9
DATA>#Dauerbuchung:Statistische Buchungsvorlage#Statistische Buchungsvorlage (Dauerbuchung)#110:1#1#Selektions-Leiste#110#Dauerbuchung#2#1#Statistische Buchungsvorlage#1#9
DATA>#Dauerbuchung:Kalenderturnus#Kalenderturnus (Dauerbuchung)#110:2#1#Selektions-Leiste#110#Dauerbuchung#4#2#Kalenderturnus#1#9
DATA>#Dauerbuchung:Dauerbuchungsregel#Dauerbuchungsregel (Dauerbuchung)#110:3#1#Selektions-Leiste#110#Dauerbuchung#8#3#Dauerbuchungsregel#1#9
DATA>#Dauerbuchung:Dauerbuchungsvorschlag#Dauerbuchungsvorschlag (Dauerbuchung)#110:4#1#Selektions-Leiste#110#Dauerbuchung#16#4#Dauerbuchungsvorschlag#1#9
DATA>#Sperrlisten:Listenbeschreibung#Listenbeschreibung (Sperrlisten)#111:1#1#Selektions-Leiste#111#Sperrlisten#2#1#Listenbeschreibung#0#9
DATA>#Sperrlisten:Liste#Liste (Sperrlisten)#111:2#1#Selektions-Leiste#111#Sperrlisten#4#2#Liste#0#9
DATA>#Sperrlisten:Listeneintrag#Listeneintrag (Sperrlisten)#111:3#1#Selektions-Leiste#111#Sperrlisten#8#3#Listeneintrag#1#9
DATA>#Sperrprüfungen:Protokoll#Protokoll (Sperrprüfungen)#112:1#1#Selektions-Leiste#112#Sperrprüfungen#2#1#Protokoll#0#9
DATA>#Adressen:Adressen#Adressen (Adressen)#113:1#1#Selektions-Leiste#113#Adressen#2#1#Adressen#0#9
DATA>#Qualifikationen:Qualifikationen#Qualifikationen (Qualifikationen)#114:1#1#Selektions-Leiste#114#Qualifikationen#2#1#Qualifikationen#0#9
DATA>#Qualifikationen:Qualifikationsgrad#Qualifikationsgrad (Qualifikationen)#114:2#1#Selektions-Leiste#114#Qualifikationen#4#2#Qualifikationsgrad#1#9
DATA>#Serviceeinsatz:Einsatzart#Einsatzart (Serviceeinsatz)#115:1#1#Selektions-Leiste#115#Serviceeinsatz#2#1#Einsatzart#0#9
DATA>#Serviceeinsatz:Einsatzmittel#Einsatzmittel (Serviceeinsatz)#115:2#1#Selektions-Leiste#115#Serviceeinsatz#4#2#Einsatzmittel#1#9
DATA>#Serviceprodukt:Serviceprodukt#Serviceprodukt (Serviceprodukt)#116:1#1#Selektions-Leiste#116#Serviceprodukt#2#1#Serviceprodukt#0#9
DATA>#Serviceprodukt:Wartung/Dienstleistung#Wartung/Dienstleistung (Serviceprodukt)#116:2#1#Selektions-Leiste#116#Serviceprodukt#4#2#Wartung/Dienstleistung#0#9
DATA>#Serviceprodukt:Serviceproduktstückliste#Serviceproduktstückliste (Serviceprodukt)#116:3#1#Selektions-Leiste#116#Serviceprodukt#8#3#Serviceproduktstückliste#1#9
DATA>#Serviceprodukt:Dienstleistungsstückliste#Dienstleistungsstückliste (Serviceprodukt)#116:5#1#Selektions-Leiste#116#Serviceprodukt#32#5#Dienstleistungsstückliste#1#9
DATA>#Servicemitarbeiter:Techniker#Techniker (Servicemitarbeiter)#117:1#1#Selektions-Leiste#117#Servicemitarbeiter#2#1#Techniker#1#9
DATA>#Servicemitarbeiter:Team#Team (Servicemitarbeiter)#117:2#1#Selektions-Leiste#117#Servicemitarbeiter#4#2#Team#1#9
DATA>#Servicereservierung:Servicereservierung#Servicereservierung (Servicereservierung)#118:1#1#Selektions-Leiste#118#Servicereservierung#2#1#Servicereservierung#0#9
DATA>#Versandplanung:Versandplanung#Versandplanung (Versandplanung)#119:1#1#Selektions-Leiste#119#Versandplanung#2#1#Versandplanung#1#9
DATA>#Versandplanung:Packstücknummern#Packstücknummern (Versandplanung)#119:11#1#Selektions-Leiste#119#Versandplanung#2048#11#Packstücknummern#1#9
DATA>#Warteschlange:Warteschlange#Warteschlange (Warteschlange)#120:1#1#Selektions-Leiste#120#Warteschlange#2#1#Warteschlange#0#9
DATA>#Wertereihe:Wertereihe#Wertereihe (Wertereihe)#121:1#1#Selektions-Leiste#121#Wertereihe#2#1#Wertereihe#1#9
DATA>#Wertereihe:Rollierender Plan#Rollierender Plan (Wertereihe)#121:2#1#Selektions-Leiste#121#Wertereihe#4#2#Rollierender Plan#1#9
DATA>#Serviceanfrage:Serviceanfrage#Serviceanfrage (Serviceanfrage)#122:1#1#Selektions-Leiste#122#Serviceanfrage#2#1#Serviceanfrage#1#9
DATA>#Serviceanfrage:Serviceanfrage Ursache#Serviceanfrage Ursache (Serviceanfrage)#122:2#1#Selektions-Leiste#122#Serviceanfrage#4#2#Serviceanfrage Ursache#0#9
DATA>#Serviceanfrage:Serviceanfrage Priorität#Serviceanfrage Priorität (Serviceanfrage)#122:3#1#Selektions-Leiste#122#Serviceanfrage#8#3#Serviceanfrage Priorität#0#9
DATA>#Serviceanfrage:Serviceanfrage Dringlichkeit#Serviceanfrage Dringlichkeit (Serviceanfrage)#122:4#1#Selektions-Leiste#122#Serviceanfrage#16#4#Serviceanfrage Dringlichkeit#0#9
DATA>#Serviceanfrage:Serviceanfrage Verteiler#Serviceanfrage Verteiler (Serviceanfrage)#122:5#1#Selektions-Leiste#122#Serviceanfrage#32#5#Serviceanfrage Verteiler#1#9
DATA>#Kostenbuchungsvorsch:Kostenbuchungsvorschlag#Kostenbuchungsvorschlag (Kostenbuchungsvorschlag)#123:1#1#Selektions-Leiste#123#Kostenbuchungsvorschlag#2#1#Kostenbuchungsvorschlag#1#9
DATA>#Geschäftsjahresverwa:Abschlüsse#Abschlüsse (Geschäftsjahresverwaltung)#124:3#1#Selektions-Leiste#124#Geschäftsjahresverwaltung#8#3#Abschlüsse#1#9
DATA>#Geschäftsjahresverwa:Abschlussprotokoll#Abschlussprotokoll (Geschäftsjahresverwaltung)#124:2#1#Selektions-Leiste#124#Geschäftsjahresverwaltung#4#2#Abschlussprotokoll#1#9
DATA>#Geschäftsjahresverwa:Geschäftsjahresverwaltung#Geschäftsjahresverwaltung (Geschäftsjahresverwaltung)#124:1#1#Selektions-Leiste#124#Geschäftsjahresverwaltung#2#1#Geschäftsjahresverwaltung#1#9
DATA>#Planungszeitraum:Zeitraster#Zeitraster (Planungszeitraum)#125:1#1#Selektions-Leiste#125#Planungszeitraum#2#1#Zeitraster#1#9
DATA>#Planungszeitraum:Planungszeitraum#Planungszeitraum (Planungszeitraum)#125:2#1#Selektions-Leiste#125#Planungszeitraum#4#2#Planungszeitraum#1#9
DATA>#Absatzplanung:Planungseinheit#Planungseinheit (Absatzplanung)#126:1#1#Selektions-Leiste#126#Absatzplanung#2#1#Planungseinheit#1#9
DATA>#Absatzplanung:Planung#Planung (Absatzplanung)#126:2#1#Selektions-Leiste#126#Absatzplanung#4#2#Planung#0#9
DATA>#Absatzplanung:Prognoseparameter#Prognoseparameter (Absatzplanung)#126:3#1#Selektions-Leiste#126#Absatzplanung#8#3#Prognoseparameter#0#9
DATA>#Absatzplanung:Bedarfsplanungseinheit#Bedarfsplanungseinheit (Absatzplanung)#126:4#1#Selektions-Leiste#126#Absatzplanung#16#4#Bedarfsplanungseinheit#0#9
DATA>#Absatzplanung:Rollierende Planung#Rollierende Planung (Absatzplanung)#126:5#1#Selektions-Leiste#126#Absatzplanung#32#5#Rollierende Planung#0#9
DATA>#Fertigungsliste:Fertigungsliste#Fertigungsliste (Fertigungsliste)#128:1#1#Selektions-Leiste#128#Fertigungsliste#2#1#Fertigungsliste#1#9
DATA>#Bewertung:Bewertung#Bewertung (Bewertung)#130:1#1#Selektions-Leiste#130#Bewertung#2#1#Bewertung#1#9
DATA>#Buchungsjournal:Buchungszeile Finanzbuchung#Buchungszeile Finanzbuchung (Buchungsjournal)#131:0#1#Selektions-Leiste#131#Buchungsjournal#1#0#Buchungszeile Finanzbuchung#1#9
